"Strain","RelForce"
-20.1825297767,83.6888873688
34.1014435544,53.8076682529
38.0781414363,46.0283309286
-15.1219218701,85.0494031082
40.2942877169,42.4733045574
-21.8748831876,67.6479591608
-24.9145297486,66.5549738227
45.9344729929,32.2322643562
51.7021398315,21.6247527059
-24.1374371347,53.6381039692
47.3980986444,27.1021396951
-31.4387745961,37.8536821284
-33.4167442874,36.8697931845
56.0465407438,18.2861096955
60.1555005178,13.0712553085
-33.8113398137,25.7973875604
63.6348000128,10.2222222804
-39.9490003726,9.9771741998
-44.4577155832,5.6802136968
71.9261108909,5.4477567917
75.5188536442,3.8993761888
-46.3558118926,4.7104483709
-52.5230122131,2.0836215544
3.2792746996,96.1956581544
3.2797320281,99.554515653
-0.1091614694,100
-2.0472747738,99.2074296882
9.8365473177,93.5193897234
12.8375993523,89.8494874016
-3.2833610385,98.0333830761
13.5117474551,88.269222434
-10.4987675914,92.8974410018
-14.1268786492,87.966268439
20.1517722607,77.3118346648
24.9229953462,70.2634024334
-9.5163482969,92.6259086002
27.0219619919,65.9989111898
-18.3149971627,79.5335883051
-21.5307414216,72.6948215285
28.4014274718,63.3311683246
31.1257520574,58.9750086871
-23.9308415678,62.7142084293
32.3890258344,57.7273279343
-26.5791100911,52.3475361623
-27.9611704367,48.3336178724
44.904149646,31.74885259
38.4690981404,50.5660121929
-31.438161775,29.6207873542
47.1194400597,28.9990214723
-31.8076864514,24.4688782001
-34.3637151897,16.8948344785
58.5671924409,7.1504646478
52.4845870416,13.2252219083
-33.0166614608,7.5784833728
63.3521639264,8.4382734512
-39.4209011199,1.0086837751
-32.7027651491,5.3522858024
